ticker,status,exchange,subindustry
LITE,NON_COMPLIANT,NASDAQ,Communications Equipment
LKQ,NON_COMPLIANT,NASDAQ,Distributors
LLY,COMPLIANT,NYSE,Pharmaceuticals
LLYVA,NON_COMPLIANT,NASDAQ,Movies & Entertainment
LLYVK,NON_COMPLIANT,NASDAQ,Movies & Entertainment
LOAR,QUESTIONABLE,NYSE,Aerospace & Defense
LOPE,COMPLIANT,NASDAQ,Education Services
LOW,COMPLIANT,NYSE,Home Improvement Retail
LPX,COMPLIANT,NYSE,Forest Products
LRCX,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
LSCC,QUESTIONABLE,NASDAQ,Semiconductors
LSTR,COMPLIANT,NASDAQ,Cargo Ground Transportation
LULU,COMPLIANT,NASDAQ,"Apparel, Accessories & Luxury Goods"
LUV,QUESTIONABLE,NYSE,Passenger Airlines
LYFT,NON_COMPLIANT,NASDAQ,Passenger Ground Transportation
M,NON_COMPLIANT,NYSE,Broadline Retail
MAA,NON_COMPLIANT,NYSE,Multi-Family Residential REITs
MANH,COMPLIANT,NASDAQ,Application Software
MAR,QUESTIONABLE,NASDAQ,"Hotels, Resorts & Cruise Lines"
MAS,COMPLIANT,NYSE,Building Products
MCHP,COMPLIANT,NASDAQ,Semiconductors
MCK,COMPLIANT,NYSE,Health Care Distributors
MDB,COMPLIANT,NASDAQ,Internet Services & Infrastructure
MDGL,COMPLIANT,NASDAQ,Biotechnology
MDLN,COMPLIANT,NASDAQ,Health Care Supplies
MDLZ,QUESTIONABLE,NASDAQ,Packaged Foods & Meats
MDT,COMPLIANT,NYSE,Health Care Equipment
MEDP,COMPLIANT,NASDAQ,Life Sciences Tools & Services
MFP,UNKNOWN,,
MHK,COMPLIANT,NYSE,Home Furnishings
MIDD,COMPLIANT,NASDAQ,Industrial Machinery & Supplies & Components
MKC,COMPLIANT,NYSE,Packaged Foods & Meats
MLI,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
MLM,COMPLIANT,NYSE,Construction Materials
MMM,COMPLIANT,NYSE,Industrial Conglomerates
MNST,COMPLIANT,NASDAQ,Soft Drinks & Non-alcoholic Beverages
MOD,COMPLIANT,NYSE,Building Products
MOS,NON_COMPLIANT,NYSE,Fertilizers & Agricultural Chemicals
MPWR,COMPLIANT,NASDAQ,Semiconductors
MRK,COMPLIANT,NYSE,Pharmaceuticals
MRVL,COMPLIANT,NASDAQ,Semiconductors
MSA,COMPLIANT,NYSE,Office Services & Supplies
MSFT,NON_COMPLIANT,NASDAQ,Systems Software
MSM,COMPLIANT,NYSE,Trading Companies & Distributors
MSTR,NON_COMPLIANT,NASDAQ,Application Software
MTD,COMPLIANT,NYSE,Life Sciences Tools & Services
MTDR,NON_COMPLIANT,NYSE,Oil & Gas Exploration & Production
MTSI,QUESTIONABLE,NASDAQ,Semiconductors
MTZ,COMPLIANT,NYSE,Construction & Engineering
MU,COMPLIANT,NASDAQ,Semiconductors
MWH,COMPLIANT,NASDAQ,Construction & Engineering
NBIX,COMPLIANT,NASDAQ,Biotechnology
NDSN,COMPLIANT,NASDAQ,Industrial Machinery & Supplies & Components
NEM,NON_COMPLIANT,NYSE,Gold
NEU,COMPLIANT,NYSE,Specialty Chemicals
NFG,NON_COMPLIANT,NYSE,Gas Utilities
NKE,COMPLIANT,NYSE,Footwear
NOV,NON_COMPLIANT,NYSE,Oil & Gas Equipment & Services
NOW,QUESTIONABLE,NYSE,Systems Software
NSC,COMPLIANT,NYSE,Rail Transportation
NTAP,COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
NTNX,COMPLIANT,NASDAQ,Application Software
NTRA,COMPLIANT,NASDAQ,Biotechnology
NUE,COMPLIANT,NYSE,Steel
NVDA,COMPLIANT,NASDAQ,Semiconductors
NVR,COMPLIANT,NYSE,Homebuilding
NVST,NON_COMPLIANT,NYSE,Health Care Equipment
NVT,COMPLIANT,NYSE,Electrical Components & Equipment
NXPI,COMPLIANT,NASDAQ,Semiconductors
NXT,COMPLIANT,NASDAQ,Electrical Components & Equipment
ODFL,COMPLIANT,NASDAQ,Cargo Ground Transportation
OKTA,COMPLIANT,NASDAQ,Internet Services & Infrastructure
OLLI,COMPLIANT,NASDAQ,Broadline Retail
ON,COMPLIANT,NASDAQ,Semiconductors
ONON,COMPLIANT,NYSE,Footwear
ONTO,COMPLIANT,NYSE,Semiconductor Materials & Equipment
ORCL,NON_COMPLIANT,NYSE,Systems Software
ORLY,COMPLIANT,NASDAQ,Automotive Retail
OTIS,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
OVV,NON_COMPLIANT,NYSE,Oil & Gas Exploration & Production
OXY,NON_COMPLIANT,NYSE,Integrated Oil & Gas
P,COMPLIANT,NYSE,"Technology Hardware, Storage & Peripherals"
PANW,COMPLIANT,NASDAQ,Systems Software
PATH,COMPLIANT,NYSE,Systems Software
PAYC,NON_COMPLIANT,NYSE,Human Resource & Employment Services
PCAR,NON_COMPLIANT,NASDAQ,Construction Machinery & Heavy Transportation Equipment
PCOR,COMPLIANT,NYSE,Application Software
PEGA,COMPLIANT,NASDAQ,Application Software
PEN,COMPLIANT,NYSE,Health Care Equipment
PEP,QUESTIONABLE,NASDAQ,Soft Drinks & Non-alcoholic Beverages
PFE,NON_COMPLIANT,NYSE,Pharmaceuticals
PG,COMPLIANT,NYSE,Household Products
PHM,COMPLIANT,NYSE,Homebuilding
PINS,QUESTIONABLE,NYSE,Interactive Media & Services
PKG,COMPLIANT,NYSE,Paper & Plastic Packaging Products & Materials
PLD,NON_COMPLIANT,NYSE,Industrial REITs
PLNT,NON_COMPLIANT,NYSE,Leisure Facilities
PNR,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
PODD,COMPLIANT,NASDAQ,Health Care Equipment
POOL,COMPLIANT,NASDAQ,Distributors
POWL,COMPLIANT,NASDAQ,Electrical Components & Equipment
PPG,COMPLIANT,NYSE,Specialty Chemicals
PPLI,NON_COMPLIANT,NASDAQ,Interactive Media & Services
PRIM,COMPLIANT,NYSE,Construction & Engineering
PSX,NON_COMPLIANT,NYSE,Oil & Gas Refining & Marketing
PTC,COMPLIANT,NASDAQ,Application Software
PVH,NON_COMPLIANT,NYSE,"Apparel, Accessories & Luxury Goods"
PWR,COMPLIANT,NYSE,Construction & Engineering
Q,COMPLIANT,NYSE,Semiconductor Materials & Equipment
QCOM,COMPLIANT,NASDAQ,Semiconductors
QGEN,COMPLIANT,NYSE,Life Sciences Tools & Services
QRVO,COMPLIANT,NASDAQ,Semiconductors
QXO,NON_COMPLIANT,NYSE,Trading Companies & Distributors
RAL,COMPLIANT,NYSE,Electronic Equipment & Instruments
RBA,COMPLIANT,NYSE,Diversified Support Services
RBLX,COMPLIANT,NYSE,Interactive Home Entertainment
RBRK,COMPLIANT,NYSE,Systems Software
RDDT,QUESTIONABLE,NYSE,Interactive Media & Services
REGN,NON_COMPLIANT,NASDAQ,Biotechnology
REXR,NON_COMPLIANT,NYSE,Industrial REITs
REYN,COMPLIANT,NASDAQ,Household Products
RGEN,COMPLIANT,NASDAQ,Life Sciences Tools & Services
RHI,COMPLIANT,NYSE,Human Resource & Employment Services
RIVN,NON_COMPLIANT,NASDAQ,Automobile Manufacturers
RKLB,QUESTIONABLE,NASDAQ,Aerospace & Defense
RL,COMPLIANT,NYSE,"Apparel, Accessories & Luxury Goods"
RMBS,COMPLIANT,NASDAQ,Semiconductors
RMD,COMPLIANT,NYSE,Health Care Equipment
ROK,COMPLIANT,NYSE,Electrical Components & Equipment
ROL,COMPLIANT,NYSE,Environmental & Facilities Services
ROP,NON_COMPLIANT,NASDAQ,Application Software
ROST,COMPLIANT,NASDAQ,Apparel Retail
RPM,COMPLIANT,NYSE,Specialty Chemicals
RRC,COMPLIANT,NYSE,Oil & Gas Exploration & Production
RS,COMPLIANT,NYSE,Steel
RSG,COMPLIANT,NYSE,Environmental & Facilities Services
RVTY,COMPLIANT,NYSE,Life Sciences Tools & Services
RYN,NON_COMPLIANT,NYSE,Timber REITs
S,COMPLIANT,NYSE,Systems Software
SAIA,COMPLIANT,NASDAQ,Cargo Ground Transportation
SAIL,COMPLIANT,NASDAQ,Application Software
SANM,NON_COMPLIANT,NASDAQ,Electronic Manufacturing Services
SBUX,COMPLIANT,NASDAQ,Restaurants
SCCO,QUESTIONABLE,NYSE,Copper
SCI,NON_COMPLIANT,NYSE,Specialized Consumer Services
SHW,COMPLIANT,NYSE,Specialty Chemicals
SITE,COMPLIANT,NYSE,Trading Companies & Distributors
SLB,COMPLIANT,NYSE,Oil & Gas Equipment & Services
SMCI,NON_COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
SMMT,NON_COMPLIANT,NASDAQ,Biotechnology
SMTC,COMPLIANT,NASDAQ,Semiconductors
SN,COMPLIANT,NYSE,Household Appliances
SNA,NON_COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
SNDK,COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
SNDR,COMPLIANT,NYSE,Cargo Ground Transportation
SNOW,COMPLIANT,NYSE,Internet Services & Infrastructure
SNPS,COMPLIANT,NASDAQ,Application Software
SNX,NON_COMPLIANT,NYSE,Technology Distributors
SOLS,NON_COMPLIANT,NASDAQ,Specialty Chemicals
SPCX,QUESTIONABLE,NASDAQ,Alternative Carriers
SPXC,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
SRE,NON_COMPLIANT,NYSE,Multi-Utilities
SSD,COMPLIANT,NYSE,Building Products
STE,COMPLIANT,NYSE,Health Care Equipment
STLD,COMPLIANT,NASDAQ,Steel
STRL,COMPLIANT,NASDAQ,Construction & Engineering
STX,COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
SUI,QUESTIONABLE,NYSE,Single-Family Residential REITs
SUNB,COMPLIANT,NYSE,Trading Companies & Distributors
SW,NON_COMPLIANT,NYSE,Paper & Plastic Packaging Products & Materials
SWK,NON_COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
SWKS,COMPLIANT,NASDAQ,Semiconductors
SYK,COMPLIANT,NYSE,Health Care Equipment
T,NON_COMPLIANT,NYSE,Integrated Telecommunication Services
TEAM,COMPLIANT,NASDAQ,Application Software
TECH,COMPLIANT,NASDAQ,Life Sciences Tools & Services
TEL,COMPLIANT,NYSE,Electronic Manufacturing Services
TEM,COMPLIANT,NASDAQ,Life Sciences Tools & Services
TER,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
TGT,QUESTIONABLE,NYSE,Consumer Staples Merchandise Retail
THO,COMPLIANT,NYSE,Automobile Manufacturers
TJX,COMPLIANT,NYSE,Apparel Retail
TKR,NON_COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
TMO,COMPLIANT,NYSE,Life Sciences Tools & Services
TOL,COMPLIANT,NYSE,Homebuilding
TPL,COMPLIANT,NYSE,Oil & Gas Exploration & Production
TPR,COMPLIANT,NYSE,"Apparel, Accessories & Luxury Goods"
TREX,COMPLIANT,NYSE,Building Products
TRMB,COMPLIANT,NASDAQ,Application Software
TSCO,COMPLIANT,NASDAQ,Other Specialty Retail
TSLA,COMPLIANT,NASDAQ,Automobile Manufacturers
TT,COMPLIANT,NYSE,Building Products
TTC,COMPLIANT,NYSE,Agricultural & Farm Machinery
TTD,COMPLIANT,NASDAQ,Advertising
TTEK,COMPLIANT,NASDAQ,Environmental & Facilities Services
TWLO,COMPLIANT,NYSE,Internet Services & Infrastructure
TXN,COMPLIANT,NASDAQ,Semiconductors
TYL,COMPLIANT,NYSE,Application Software
UAL,NON_COMPLIANT,NASDAQ,Passenger Airlines
UBER,COMPLIANT,NYSE,Passenger Ground Transportation
UHS,NON_COMPLIANT,NYSE,Health Care Facilities
UI,COMPLIANT,NYSE,Communications Equipment
ULS,COMPLIANT,NYSE,Research & Consulting Services
ULTA,COMPLIANT,NASDAQ,Other Specialty Retail
UNP,COMPLIANT,NYSE,Rail Transportation
UPS,COMPLIANT,NYSE,Air Freight & Logistics
